Dam_names,Lat,Lon,River,Province,Basin_level,installed_capacity_10MW,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh.1,Water_consumption_factor_m3_kwh.1,Annual_flow_consumption_100million_m3.1,Annual_generation_100million_Kwh.2,Water_consumption_factor_m3_kwh.2,Annual_flow_consumption_100million_m3.2,Annual_generation_100million_Kwh.3,Water_consumption_factor_m3_kwh.3,Annual_flow_consumption_100million_m3.3,Annual_generation_100million_Kwh.4,Water_consumption_factor_m3_kwh.4,Annual_flow_consumption_100million_m3.4,Annual_generation_100million_Kwh.5,Water_consumption_factor_m3_kwh.5,Annual_flow_consumption_100million_m3.5,Annual_generation_100million_Kwh.6,Water_consumption_factor_m3_kwh.6,Annual_flow_consumption_100million_m3.6,Water_consumption_factor_avg,total_m3,initial_m3,effective_m3,capacity_MW,specific_water_m3_per_MWh,initial_exceeds_effective,dead_storage_subtraction_candidate_m3,dead_storage_subtraction_negative,status
Guandi,27.8177,101.9029,yalong,Sichuan,5.0,240.0,,,,,,,,,,,,,99.16,3.43,340.79,109.46,3.45,377.15,116.86,3.37,393.65,3.41,760000000.0,692000000.0,28399999.999999996,2400.0,3410.0,True,-39600000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Laxiwa,36.068459,101.233046,huang,Qinghai,4.0,350.0,38.2,2.78,106.34,96.67,2.28,219.99,90.8,2.06,187.15,124.45,1.94,241.79,114.46,1.91,218.15,101.48,1.92,195.07,95.02,1.91,181.18,1.915,1079000000.0,943000000.0,150000000.0,3500.0,1915.0,True,14000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Jinanqiao,26.8072,100.4453,jinsha,Yunnan,5.0,240.0,,,,,,,58.29,3.55,201.05,109.61,3.41,375.18,117.92,3.4,401.66,92.2,3.45,317.86,103.78,3.45,358.14,3.45,913000000.0000001,814000000.0,346000000.0,2400.0,3450.0,True,246999999.99999988,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Goupitan,27.36906,107.641253,wu,Guizhou,5.0,300.0,16.81,0.79,13.32,55.84,2.34,130.43,50.45,1.79,90.48,90.5,2.21,199.69,57.02,2.46,140.45,83.31,2.21,184.4,101.92,2.17,221.1,2.19,5560000000.0,5003000000.0,3100000000.0,3000.0,2190.0,True,2543000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Jinghong,22.0531,100.767,lancang,Yunnan,4.0,175.0,54.8,7.14,389.25,61.76,6.83,421.62,66.98,6.55,438.89,52.62,6.36,334.93,,,,73.8,6.49,478.99,69.29,6.67,462.49,6.58,1139000000.0,799000000.0,309000000.0,1750.0,6580.0,True,-31000000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Ahai,27.3331,100.5075,jinsha,Yunnan,5.0,200.0,,,,,,,,,,,,,75.99,4.7,356.95,71.3,3.21,228.55,57.04,4.84,276.04,4.025,880000000.0000001,761000000.0,218000000.00000003,2000.0,4025.0000000000005,True,98999999.99999988,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Tianshengqiao2,24.967079,105.252926,nanpan,Guizhou,5.0,132.0,,,,48.72,2.23,108.51,37.87,2.11,86.63,56.69,2.23,126.42,47.11,2.25,106.1,69.16,2.17,150.17,86.86,2.17,188.91,2.17,10800000000.0,7114000000.0,5800000000.0,1320.0,2170.0,True,2114000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Manwan,24.6222,100.4489,lancang,Yunnan,4.0,167.0,56.54,4.64,278.31,66.64,4.67,311.43,67.52,4.65,314.06,74.79,4.59,343.58,,,,69.07,4.64,320.59,60.03,4.68,281.06,4.66,919999999.9999999,270000000.0,258000000.0,1670.0,4660.0,True,-391999999.9999999,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Wuqiangxi,28.7786,110.9253,ruanshui,Hunan,5.0,120.0,49.73,8.66,430.56,55.36,8.64,478.36,36.97,8.95,330.9,56.87,8.59,488.62,52.61,8.16,429.18,65.94,8.22,542.0,63.22,8.25,521.49,8.235,3000000000.0,2853000000.0,2020000000.0,1200.0,8235.0,True,1873000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Lijiaxia,36.1186,101.8086,huang,Qinghai,4.0,160.0,57.39,3.33,191.08,66.79,3.25,217.2,57.22,3.23,184.59,70.06,3.23,226.61,67.13,3.23,216.92,58.7,3.22,188.95,53.43,3.24,173.16,3.23,1660000000.0000002,1651000000.0000002,16600000.0,1600.0,3230.0,True,7600000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Longkaikou,26.30171,100.395329,jinsha,Yunnan,5.0,180.0,,,,,,,,,,,,,,,,57.55,5.82,334.92,50.57,5.64,289.72,5.73,558000000.0,445000000.0,112999999.99999999,1800.0,5730.0,True,0.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Longyangxia,36.1219,100.9183,huang,Qinghai,4.0,128.0,58.48,3.39,198.3,69.15,3.12,215.65,56.28,3.3,185.81,72.82,3.07,223.54,69.63,3.12,216.94,57.43,3.29,189.01,53.72,3.3,177.46,3.295,24700000000.0,19940000000.0,19400000000.0,1280.0,3295.0,True,14640000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Gongboxia,35.8772,102.2281,huang,Qinghai,4.0,151.7,53.73,3.65,196.35,59.05,3.72,219.71,51.58,3.73,192.63,62.95,3.77,237.33,58.97,3.78,222.84,52.69,3.76,198.12,48.28,3.76,181.54,3.76,620000000.0,537000000.0,75000000.0,1517.0,3760.0,True,-8000000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Ludila,26.1987,100.8243,jinsha,Yunnan,5.0,216.0,,,,,,,,,,,,,,,,50.46,4.9,247.22,60.74,4.75,288.8,4.825,1718000000.0,1517000000.0,376000000.0,2160.0,4825.0,True,175000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Shatuo,28.51199,108.488475,wu,Guizhou,5.0,112.0,,,,,,,,,,,,,17.43,6.47,112.79,43.89,5.99,262.7,47.0,5.51,258.79,5.75,910000000.0,749000000.0,287000000.0,1120.0,5750.0,True,126000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Gongzui,29.3079,103.4753,dadu,Sichuan,5.0,77.0,61.0,4.8,294.1,63.97,4.93,315.16,40.79,8.84,360.58,75.44,4.94,372.66,43.09,8.22,360.14,38.35,8.77,336.39,37.66,8.44,318.05,8.605,100000000.0,89000000.0,1000000.0,770.0,8605.0,True,-10000000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Gongguoqiao,25.5502,99.3445,lancang,Yunnan,4.0,90.0,,,,,,,,,,37.32,6.89,260.0,,,,37.9,7.21,273.36,32.56,7.03,228.83,7.12,316000000.0,284000000.0,49000000.0,900.0,7120.0,True,17000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Silin,27.805635,108.226355,wu,Guizhou,5.0,105.0,13.03,6.07,79.05,25.06,6.35,159.22,23.52,6.04,142.19,39.03,5.95,232.3,27.96,5.74,160.39,37.5,5.85,219.4,41.64,5.89,245.26,5.87,1600000000.0,921000000.0000001,317000000.0,1050.0,5870.0,True,-361999999.9999999,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Wujiangdu,27.3203,106.7578,wu,Guizhou,5.0,128.0,36.16,3.51,126.94,25.66,3.56,91.42,19.04,3.89,74.1,38.01,3.35,127.49,23.84,3.59,85.54,37.42,3.45,129.23,42.77,3.4,145.49,3.425,2300000000.0,1979000000.0,1350000000.0,1280.0,3425.0,True,1029000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Luding,29.782689,102.222322,dadu,Sichuan,5.0,92.0,,,,,,,,,,37.03,6.21,229.96,37.31,5.98,223.29,36.03,5.93,213.46,37.81,6.01,227.35,5.97,220000000.00000003,197000000.0,21899999.999999996,920.0,5970.0,True,-1100000.0000000298,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Ruilijiang1,23.896246,97.707152,ruilijiang,Yunnan,5.0,60.0,29.97,1.2,36.04,30.5,1.3,39.78,34.32,1.3,44.53,36.21,1.3,47.05,,,,34.43,1.29,44.56,35.02,1.3,45.45,1.295,10000000.0,8000000.0,100000.0,600.0,1295.0,True,-1900000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Dongjing,25.530093,105.763008,beipan,Guizhou,5.0,88.0,,,,25.85,3.37,87.2,17.29,3.38,58.49,28.84,3.34,96.26,15.85,3.35,53.04,33.56,3.24,108.62,34.57,3.36,116.19,3.3,955000000.0000001,836999999.9999999,140000000.0,880.0,3300.0,True,21999999.99999976,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Jishixia,35.844365,102.690985,huang,Qinghai,4.0,102.0,,,,,,,27.57,7.15,197.35,32.91,7.15,235.29,35.54,6.38,226.76,32.14,6.31,202.86,29.58,6.23,184.27,6.27,260000000.0,161000000.0,120000000.0,1020.0,6270.0,True,21000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Changzhou,23.428333,111.215,xunjiang,Guangxi,4.0,63.0,,,,26.53,17.11,488.2,28.09,34.1,956.58,28.02,35.76,1002.03,31.87,36.18,1153.64,31.06,38.3,1183.05,33.03,38.66,1276.89,38.48,5600000000.0,1734000000.0,3700000000.0,630.0,38480.0,False,-166000000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Shuibuya,30.441763,110.335462,qingjiang,Hubei,6.0,184.0,,,,,,,,,,33.93,2.3,77.92,21.21,2.4,50.8,30.92,2.21,68.25,32.13,2.25,72.26,2.23,4580000000.0,4140999999.9999995,2300000000.0,1840.0,2230.0,True,1860999999.9999995,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Tongjiezi,29.2603,103.6353,dadu,Sichuan,5.0,67.5,,,,,,,30.88,11.92,368.09,,,,32.35,10.75,375.59,30.38,11.71,355.64,30.91,11.43,353.36,11.57,200000000.0,83000000.0,30000000.0,675.0,11570.0,True,-87000000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Guangzhao,25.959444,105.250833,beipan,Guizhou,5.0,104.0,20.42,3.02,61.64,19.13,2.68,51.3,12.88,3.03,39.0,22.75,2.79,63.39,13.13,2.9,38.1,29.22,2.62,76.46,26.34,2.77,72.84,2.695,3200000000.0,3052000000.0,2000000000.0,1040.0,2695.0,True,1852000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Dongfeng,26.8571,106.1546,wujiang,Guizhou,5.0,69.5,27.69,3.7,102.4,16.32,3.73,60.93,14.9,3.68,54.83,24.48,3.4,83.15,19.24,3.44,66.17,27.81,3.27,91.07,28.23,3.33,94.01,3.3,1016000000.0,808000000.0,490000000.00000006,695.0,3300.0,True,282000000.00000006,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Sanbanxi,26.605235,109.050119,ruanshui,Guizhou,5.0,100.0,20.76,3.39,70.29,,,,,,,17.76,2.86,50.77,24.43,2.94,71.81,26.42,2.93,77.4,35.07,2.85,99.98,2.89,4100000000.0,3697999999.9999995,2600000000.0,1000.0,2890.0,True,2197999999.9999995,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Lubuge,24.865424,104.580882,huangni,Yunnan,6.0,60.0,16.9,1.29,21.75,23.58,1.3,30.58,11.36,1.24,14.32,21.8,1.3,28.34,20.73,1.28,26.44,25.75,1.32,33.94,27.91,1.32,36.74,1.32,122000000.0,68000000.0,74000000.0,600.0,1320.0,False,20000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Shenxigou,29.302112,102.931858,dadu,Sichuan,5.0,66.0,,,,,,,25.37,12.03,305.2,,,,28.69,13.09,347.8,25.15,12.38,311.26,26.15,12.04,315.1,12.21,34000000.0,33000000.0,340000.0,660.0,12210.0,True,-660000.0,True,"source audit only; vintage, initial storage reference and site mapping need verification"
Baihetan,26.907087,102.901453,Jinsha,Sichuan,,1600.0,,,,,,,,,,,,,,,,,1.872074883,,641.0,1.872074883,1200.0,1.872074883,20600000000.0,16480000000.000002,10400000000.0,16000.0,1872.074883,True,6280000000.000002,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Wudongde,26.326686,102.632634,Jinsha,Sichuan,,1020.0,,,,,,,,,,,,,,,,,3.3290521449,,389.3,3.3290521449,1296.0,3.3290521449,7408000000.0,5926400000.0,2600000000.0,10200.0,3329.0521449,True,1118400000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
